Player_Name,Current_Season_Avg,Pct_Diff_from_Previous_Seasons,Pct_Diff_from_Current_Season,Normalized_Score
Dante Exum,20.83,95%,26%,2.93
Jalen Johnson,33.83,127%,8%,2.88
Andre Drummond,19.94,-14%,48%,1.99
Scottie Barnes,50.26,49%,7%,1.87
Cade Cunningham,39.6,20%,25%,1.83
Alperen Sengun,43.48,44%,10%,1.8
Tyus Jones,33.09,40%,11%,1.69
Daniel Gafford,34.03,53%,5%,1.67
Jarrett Allen,34.97,2%,39%,1.64
Goga Bitadze,23.78,87%,-2%,1.62
Derrick White,39.79,40%,9%,1.57
Taurean Prince,21.29,22%,18%,1.57
Donte DiVincenzo,23.12,2%,29%,1.55
Grayson Allen,27.79,38%,10%,1.51
Jalen Duren,33.37,36%,10%,1.48
Isaiah Hartenstein,21.24,16%,20%,1.46
Anfernee Simons,39.42,47%,-1%,1.39
Deni Avdija,27.18,31%,10%,1.37
Malik Monk,29.42,27%,11%,1.37
Derrick Jones Jr.,22.0,24%,13%,1.35
Ivica Zubac,30.0,17%,17%,1.3
Dennis Schroder,31.53,28%,9%,1.3
Tyrese Haliburton,59.23,30%,9%,1.3
Max Strus,29.6,48%,0%,1.3
Tari Eason,24.79,16%,17%,1.3
Donovan Mitchell,48.76,13%,23%,1.28
Cam Thomas,28.64,112%,-22%,1.25
Collin Sexton,25.56,5%,22%,1.21
Aaron Nesmith,25.15,29%,6%,1.19
Isaac Okoro,19.65,20%,12%,1.19
Duncan Robinson,26.59,40%,2%,1.19
Devin Vassell,32.0,12%,18%,1.14
Nick Richards,23.04,18%,12%,1.12
Tyrese Maxey,45.87,50%,-10%,1.09
Franz Wagner,36.28,22%,10%,1.03
Terry Rozier,45.68,30%,2%,1.0
Austin Reaves,29.05,35%,-2%,0.96
Tim Hardaway Jr.,24.28,2%,16%,0.91
Tyler Herro,39.93,25%,4%,0.89
Isaiah Stewart,22.23,-3%,20%,0.89
Shai Gilgeous-Alexander,61.0,33%,-2%,0.89
Malcolm Brogdon,33.22,4%,18%,0.87
Tobias Harris,34.09,5%,18%,0.87
Joel Embiid,65.12,21%,9%,0.84
Jalen Smith,20.95,7%,10%,0.84
Kelly Olynyk,25.12,-1%,17%,0.82
De'Anthony Melton,28.65,17%,4%,0.8
Jalen Brunson,43.62,28%,-1%,0.8
Obi Toppin,25.4,47%,-12%,0.77
Coby White,33.0,53%,-15%,0.77
De'Aaron Fox,51.7,26%,1%,0.77
Matisse Thybulle,20.06,24%,-2%,0.7
Alex Caruso,24.0,15%,4%,0.68
Jamal Murray,40.73,10%,11%,0.66
Patrick Williams,22.46,5%,8%,0.64
Nic Claxton,36.07,19%,3%,0.64
Luka Doncic,61.39,14%,11%,0.64
Jabari Smith Jr.,30.03,21%,-1%,0.61
Jonathan Kuminga,19.45,9%,2%,0.61
Jaden Ivey,22.42,-16%,23%,0.59
Lauri Markkanen,41.56,21%,1%,0.59
Anthony Edwards,42.93,10%,9%,0.57
De'Andre Hunter,23.65,5%,7%,0.54
Shaedon Sharpe,29.11,75%,-27%,0.52
Naz Reid,23.88,13%,-1%,0.45
Jeremy Sochan,23.97,11%,-0%,0.43
Mark Williams,31.57,39%,-15%,0.43
Eric Gordon,26.17,21%,-5%,0.41
Trae Young,52.06,16%,4%,0.41
Kyle Kuzma,36.55,16%,-1%,0.41
Jalen Williams,32.12,6%,4%,0.41
Jaden McDaniels,20.57,-11%,12%,0.38
Jalen Suggs,26.2,22%,-9%,0.36
Desmond Bane,42.57,24%,-7%,0.34
Paolo Banchero,35.81,15%,-1%,0.29
Myles Turner,36.94,2%,8%,0.29
Kentavious Caldwell-Pope,24.36,4%,2%,0.29
Anthony Davis,55.56,10%,7%,0.27
Khris Middleton,27.9,-23%,32%,0.27
Dario Saric,21.51,19%,-9%,0.25
Malik Beasley,24.69,15%,-7%,0.25
Bam Adebayo,41.35,6%,5%,0.18
Zach Collins,26.15,8%,-3%,0.18
Saddiq Bey,25.6,3%,0%,0.18
Kawhi Leonard,44.27,-2%,14%,0.16
Mike Conley,31.0,-1%,6%,0.16
Luguentz Dort,23.64,1%,0%,0.16
Kevin Love,22.59,3%,-2%,0.13
Jordan Poole,25.91,-7%,7%,0.13
Bobby Portis,26.12,-5%,7%,0.13
Walker Kessler,29.38,-2%,4%,0.13
Onyeka Okongwu,23.89,0%,0%,0.06
Miles Bridges,35.86,11%,-4%,0.06
Jusuf Nurkic,33.47,4%,-1%,0.04
Keegan Murray,28.07,15%,-11%,0.02
Jalen Green,24.36,-15%,10%,-0.0
OG Anunoby,28.8,-9%,9%,-0.0
Brandon Ingram,37.94,-1%,6%,-0.03
Bojan Bogdanovic,28.87,3%,-4%,-0.05
Keldon Johnson,31.85,9%,-6%,-0.05
Domantas Sabonis,46.88,6%,4%,-0.07
Jakob Poeltl,29.74,-7%,5%,-0.1
Cameron Johnson,26.76,3%,-6%,-0.1
Giannis Antetokounmpo,57.42,7%,3%,-0.1
Michael Porter Jr.,31.68,7%,-7%,-0.14
Immanuel Quickley,22.75,-10%,-0%,-0.14
Moritz Wagner,19.81,14%,-16%,-0.17
Jonas Valanciunas,34.89,10%,-10%,-0.19
P.J. Washington,28.43,-0%,-4%,-0.19
Josh Richardson,20.88,-5%,-5%,-0.21
Clint Capela,33.21,-3%,2%,-0.21
Santi Aldama,23.96,20%,-18%,-0.21
Brook Lopez,34.38,2%,-4%,-0.23
Rui Hachimura,21.48,8%,-14%,-0.23
Julius Randle,38.82,-1%,1%,-0.26
Devin Booker,47.12,10%,-9%,-0.28
Mitchell Robinson,26.91,-6%,-2%,-0.3
Kevin Durant,51.38,0%,8%,-0.3
Caleb Martin,22.48,14%,-19%,-0.3
Darius Garland,34.45,-10%,7%,-0.3
Caris LeVert,26.72,-5%,-5%,-0.33
Aaron Gordon,29.78,-2%,-4%,-0.33
Jerami Grant,30.2,-5%,-1%,-0.35
Fred VanVleet,40.25,-2%,-0%,-0.35
Bruce Brown,25.62,5%,-13%,-0.35
Rudy Gobert,36.76,-1%,-2%,-0.37
Pascal Siakam,37.94,-11%,10%,-0.37
LaMelo Ball,45.93,5%,-4%,-0.37
Buddy Hield,26.74,-13%,2%,-0.39
Mikal Bridges,35.61,10%,-14%,-0.39
CJ McCollum,39.77,5%,-8%,-0.42
Al Horford,25.44,-16%,3%,-0.46
Bennedict Mathurin,20.32,-6%,-10%,-0.46
Marcus Smart,27.4,-8%,-3%,-0.49
Talen Horton-Tucker,23.06,13%,-23%,-0.49
Bogdan Bogdanovic,31.06,13%,-19%,-0.49
Evan Mobley,37.65,6%,-11%,-0.51
DeMar DeRozan,39.71,-4%,0%,-0.51
Gordon Hayward,30.43,4%,-14%,-0.51
RJ Barrett,24.89,-7%,-8%,-0.53
Spencer Dinwiddie,30.14,-6%,-6%,-0.58
Kristaps Porzingis,38.13,-8%,2%,-0.6
Jayson Tatum,44.61,-4%,1%,-0.6
Nikola Vucevic,36.18,-11%,4%,-0.6
Zion Williamson,38.03,-10%,4%,-0.62
Dillon Brooks,21.26,-12%,-8%,-0.62
