PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,FG_PCT,FG3A,FG3_PCT,FT_PCT,DREB,PF,PLAYER_NAME,POSITION,MIN,FGM,FGA,FTM,FTA,FG3M,PTS,OREB,REB,AST,STL,BLK,TOV,FGM_PTS,FGA_PTS,FG3M_PTS,FTM_PTS,FTA_PTS,OREB_PTS,REB_PTS,AST_PTS,STL_PTS,BLK_PTS,TOV_PTS,PTS_PTS,TOTAL
1630173,2020-21,00,1610612748,MIA,21.0,61,4,0.544,1,0.0,0.509,135,91,Precious Achiuwa,Forward,12.08,2.03,3.74,0.92,1.8,0.0,4.98,1.2,3.41,0.48,0.33,0.46,0.7,71.0,-37.4,0.0,7.4,-5.4,6.0,27.3,8.2,9.9,13.8,-10.5,24.9,115.2
1630173,2021-22,00,1610612761,TOR,22.0,73,28,0.439,156,0.359,0.595,327,151,Precious Achiuwa,Forward,23.63,3.63,8.26,1.07,1.79,0.77,9.1,2.0,6.48,1.12,0.51,0.56,1.15,127.0,-82.6,1.9,8.6,-5.4,10.0,51.8,19.0,15.3,16.8,-17.2,45.5,190.7
1630173,2022-23,00,1610612761,TOR,23.0,55,12,0.485,108,0.269,0.702,228,102,Precious Achiuwa,Forward,20.75,3.56,7.35,1.58,2.25,0.53,9.24,1.82,5.96,0.91,0.56,0.55,1.07,124.6,-73.5,1.3,12.6,-6.8,9.1,47.7,15.5,16.8,16.5,-16.0,46.2,194.0
1630173,2023-24,00,1610612761,TOR,24.0,8,0,0.448,16,0.25,0.667,37,15,Precious Achiuwa,Forward,20.38,3.25,7.25,0.75,1.12,0.5,7.75,1.88,6.5,2.0,0.38,0.38,1.25,113.8,-72.5,1.2,6.0,-3.4,9.4,52.0,34.0,11.4,11.4,-18.8,38.8,183.3
203500,2013-14,00,1610612760,OKC,20.0,81,20,0.503,0,0.0,0.581,190,203,Steven Adams,Center,14.78,1.15,2.28,0.98,1.68,0.0,3.27,1.75,4.1,0.53,0.49,0.7,0.88,40.2,-22.8,0.0,7.8,-5.0,8.8,32.8,9.0,14.7,21.0,-13.2,16.4,109.7
203500,2014-15,00,1610612760,OKC,21.0,70,67,0.544,2,0.0,0.502,324,222,Steven Adams,Center,25.3,3.1,5.7,1.47,2.93,0.0,7.67,2.84,7.47,0.94,0.54,1.23,1.41,108.5,-57.0,0.0,11.8,-8.8,14.2,59.8,16.0,16.2,36.9,-21.2,38.4,214.8
203500,2015-16,00,1610612760,OKC,22.0,80,80,0.613,0,0.0,0.582,314,223,Steven Adams,Center,25.18,3.26,5.32,1.42,2.45,0.0,7.95,2.74,6.66,0.78,0.52,1.11,1.05,114.1,-53.2,0.0,11.4,-7.4,13.7,53.3,13.3,15.6,33.3,-15.8,39.8,218.1
203500,2016-17,00,1610612760,OKC,23.0,80,80,0.571,1,0.0,0.611,332,195,Steven Adams,Center,29.86,4.68,8.19,1.96,3.21,0.0,11.31,3.51,7.66,1.08,1.11,0.98,1.82,163.8,-81.9,0.0,15.7,-9.6,17.5,61.3,18.4,33.3,29.4,-27.3,56.6,277.2
203500,2017-18,00,1610612760,OKC,24.0,76,76,0.629,2,0.0,0.559,301,215,Steven Adams,Center,32.72,5.89,9.37,2.11,3.76,0.0,13.89,5.05,9.01,1.16,1.21,1.03,1.68,206.2,-93.7,0.0,16.9,-11.3,25.2,72.1,19.7,36.3,30.9,-25.2,69.4,346.5
203500,2018-19,00,1610612760,OKC,25.0,80,80,0.595,2,0.0,0.5,369,204,Steven Adams,Center,33.36,6.01,10.11,1.82,3.65,0.0,13.85,4.89,9.5,1.55,1.46,0.95,1.69,210.4,-101.1,0.0,14.6,-11.0,24.4,76.0,26.4,43.8,28.5,-25.3,69.2,355.9
203500,2019-20,00,1610612760,OKC,26.0,63,63,0.592,3,0.333,0.582,376,122,Steven Adams,Center,26.68,4.49,7.59,1.86,3.19,0.02,10.86,3.29,9.25,2.32,0.81,1.06,1.49,157.2,-75.9,0.0,14.9,-9.6,16.4,74.0,39.4,24.3,31.8,-22.4,54.3,304.4
203500,2020-21,00,1610612740,NOP,27.0,58,58,0.614,3,0.0,0.444,301,113,Steven Adams,Center,27.67,3.26,5.31,1.03,2.33,0.0,7.55,3.67,8.86,1.91,0.93,0.66,1.34,114.1,-53.1,0.0,8.2,-7.0,18.4,70.9,32.5,27.9,19.8,-20.1,37.8,249.4
203500,2021-22,00,1610612763,MEM,28.0,76,75,0.547,1,0.0,0.543,411,153,Steven Adams,Center,26.3,2.76,5.05,1.42,2.62,0.0,6.95,4.59,10.0,3.37,0.86,0.79,1.51,96.6,-50.5,0.0,11.4,-7.9,23.0,80.0,57.3,25.8,23.7,-22.6,34.8,271.6
203500,2022-23,00,1610612763,MEM,29.0,42,42,0.597,1,0.0,0.364,271,98,Steven Adams,Center,26.98,3.74,6.26,1.12,3.07,0.0,8.6,5.1,11.55,2.31,0.86,1.1,1.88,130.9,-62.6,0.0,9.0,-9.2,25.5,92.4,39.3,25.8,33.0,-28.2,43.0,298.9
1628389,2017-18,00,1610612748,MIA,20.0,69,19,0.512,7,0.0,0.721,263,138,Bam Adebayo,Center-Forward,19.83,2.52,4.93,1.87,2.59,0.0,6.91,1.71,5.52,1.46,0.46,0.59,0.96,88.2,-49.3,0.0,15.0,-7.8,8.6,44.2,24.8,13.8,17.7,-14.4,34.6,175.4
